signal,name,auroc_detection,auroc_failure
logprob_uncertainty,Logprob Uncertainty,0.4261763115197404,0.38250790305584825
peak_entropy,Peak Entropy,0.5,0.5
mean_vocab_gap,Vocab Gap (mean),0.5873445105462413,0.5879873551106427
